Process,DBN,School Name,Program Code,Program Name,Admissions Method for Students Entering in Fall 2020,Diversity In Admissions Priority for Students Entering in Fall 2020,Selection Criteria for Students Entering in Fall 2020
MS,17K394,M.S. K394,K394A,The Mary McLeod Bethune Academy,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Academic and Personal Behaviors; Final 4th Grade Report Card
MS,17K394,M.S. K394,K394M,The Mary McLeod Bethune Middle School (M.S. 394),Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card
ES,17K397,P.S. 397 Foster-Laurie,17K397KG,Kindergarten,Zoned,,
ES,17K398,P.S. 398 Walter Weaver,17K398KG,Kindergarten,Zoned,,
ES,17K399,P.S. 399 Stanley Eugene Clark,17K399KG,Kindergarten,Zoned,,
HS,17K408,Academy of Hospitality and Tourism,L24A,"Culinary Arts, Business, Hospitality, and Tourism",Ed. Opt.,,Attendance; Punctuality; Standardized Test Scores: English Language Arts
MS,17K484,Ronald Edmonds Learning Center II,K484L,Ronald Edmonds Learning Center II,Limited Unscreened,,
HS,17K524,International High School at Prospect Heights,K98X,International High School at Prospect Heights,Screened: Language,,
HS,17K528,The High School for Global Citizenship,K32A,Engineering,Ed. Opt.,,"Attendance and Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,17K528,The High School for Global Citizenship,K32B,Biomedical Science,Ed. Opt.,,"Attendance and Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,17K528,The High School for Global Citizenship,K32C,Computer Science,Ed. Opt.,,"Attendance and Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,17K528,The High School for Global Citizenship,K32D,Brooklyn STEAM Center,Screened,,"Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,17K531,"School for Human Rights, The",K04X,The School for Human Rights,Open,,
ES,17K532,New Bridges Elementary,17K532KG,Kindergarten,Zoned,,
HS,17K537,High School for Youth and Community Development at Erasmus,K06B,Arts,Open,,
HS,17K537,High School for Youth and Community Development at Erasmus,K06C,Media,Open,,
HS,17K539,High School for Service & Learning at Erasmus,K30X,High School for Service & Learning,Ed. Opt.,,Attendance
HS,17K543,"Science, Technology and Research Early College High School at Erasmus",K14A,Early College,Screened,,Attendance; Course Grades: English; Individual Interview (On-Site); Punctuality; Standardized Test Scores: English Language Arts; Writing Exercise (On-Site)
MS,17K543,"Science, Technology and Research Early College High School at Erasmus",K543M,"Science, Technology, and Research Early College School at Erasmus",Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,17K546,High School for Public Service: Heroes of Tomorrow,K64A,Law Academy-HSPS,Screened,,Attendance; Course Grades: English; Demonstrated Interest: School Visit; Standardized Test Scores: English Language Arts
HS,17K546,High School for Public Service: Heroes of Tomorrow,K64B,Medical Science and Careers Academy,Screened,,Attendance; Course Grades: English; Demonstrated Interest: School Visit; Standardized Test Scores: English Language Arts
HS,17K546,High School for Public Service: Heroes of Tomorrow,K64C,Urban Farming and Agricultural Sciences,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Honors/Accelerated Coursework; Punctuality; Shadow/Interview; Standardized Test Scores: English Language Arts, Math"
HS,17K547,Brooklyn Academy of Science and the Environment,K41A,Science Exploration Program,Ed. Opt.,,"Attendance; Course Grades: Science; Standardized Test Scores: English Language Arts, Math"
HS,17K548,Brooklyn School for Music & Theatre,K48A,Performing and Visual Arts,Ed. Opt.,,
MS,17K590,Medgar Evers College Preparatory School,K590M,Medgar Evers College Preparatory School,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,17K590,Medgar Evers College Preparatory School,K77A,"Science, Math and Technology",Screened,,"Attendance; Course Grades: Average; Demonstrated Special Talent: Athletics, Music, Fine Arts, or Dance; Punctuality; Standardized Test Scores: Average"
HS,17K600,Clara Barton High School,K50A,Health Career Professions,Ed. Opt.,,"Attendance; Course Grades: Average; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,17K600,Clara Barton High School,K50B,Bilingual Haitian Creole,Screened: Language,,
HS,17K600,Clara Barton High School,K50J,Gateway Honors,Screened,,Attendance; Course Grades: Average; Demonstrated Interest: School Visit; Punctuality; Standardized Test Scores: English Language Arts
ES,17K705,Brooklyn Arts and Science Elementary School,17K705KG,Kindergarten,Zoned,Priority to applicants who are English Language Learners and/or are in the child welfare system for 20% of seats,
ES,17K705,Brooklyn Arts and Science Elementary School,17K705SP,Spanish Dual Language,Zoned,Priority to applicants who are English Language Learners and/or are in the child welfare system for 20% of seats,
MS,17K722,New Heights Middle School,K722L,New Heights Middle School,Limited Unscreened,,
HS,17K745,Brooklyn Institute for Liberal Arts,L17A,"Humanities, Arts & STEM",Open,,
HS,17K751,Academy for Health Careers,L64A,Academy for Health Careers,Open,,
ES,17K770,P.S. 770 New American Academy,17K770KG,Kindergarten,Non-Zoned,Priority to applicants eligible for free or reduced price lunch (based on family income) for 40% of seats,
ES,18K066,P.S. 66,18K066KG,Kindergarten,Non-Zoned,,
MS,18K068,I.S. 068 Isaac Bildersee,K068A,Accelerated Achievement Program.,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Attendance; Final 4th Grade Report Card
MS,18K068,I.S. 068 Isaac Bildersee,K068M,I.S. 68 Haitian Creole Dual Language Program,Screened: Language,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; ELL Status
MS,18K068,I.S. 068 Isaac Bildersee,K068U,I.S. 68,Open,,
ES,18K114,P.S. 114 Ryder Elementary,18K114KG,Kindergarten,Zoned,,
ES,18K115,P.S. 115 Daniel Mucatel School,18K115GTD,District Gifted & Talented,District G&T,,
ES,18K115,P.S. 115 Daniel Mucatel School,18K115KG,Kindergarten,Zoned,,
ES,18K135,P.S. 135 Sheldon A. Brookner,18K135KG,Kindergarten,Zoned,,
ES,18K208,P.S. 208 Elsa Ebeling,18K208KG,Kindergarten,Zoned,,
MS,18K211,I.S. 211 John Wilson,K211A,John Wilson (I.S. 211): Astral Program,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Attendance; Final 4th Grade Report Card
MS,18K211,I.S. 211 John Wilson,K211U,John Wilson (I.S. 211),Open,,
ES,18K219,P.S. 219 Kennedy-King,18K219KG,Kindergarten,Zoned,,
ES,18K233,P.S. 233 Langston Hughes,18K233KG,Kindergarten,Zoned,,
ES,18K235,P.S. 235 Janice Marie Knight School,18K235KG,Kindergarten,Zoned,,
MS,18K235,P.S. 235 Janice Marie Knight School,K235M,The Lenox Academy,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
ES,18K244,P.S. 244 Richard R. Green,18K244KG,Kindergarten,Zoned,,
ES,18K268,P.S. 268 Emma Lazarus,18K268KG,Kindergarten,Zoned,,
ES,18K272,P.S. 272 Curtis Estabrook,18K272KG,Kindergarten,Zoned,,
ES,18K276,P.S. 276 Louis Marshall,18K276HA,Haitian-Creole Dual Language,Zoned,,
ES,18K276,P.S. 276 Louis Marshall,18K276KG,Kindergarten,Zoned,,
ES,18K279,P.S. 279 Herman Schreiber,18K279KG,Kindergarten,Zoned,,
MS,18K285,I.S. 285 Meyer Levin,K285A,Meyer Levin (I.S. 285): Astral Program,Composite Score,,4th Grade New York State ELA Exam; 4th Grade New York State Math Exam; Attendance; Final 4th Grade Report Card
MS,18K285,I.S. 285 Meyer Levin,K285M,Meyer Levin (I.S. 285): Performing Arts Program,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Lateness
MS,18K285,I.S. 285 Meyer Levin,K285Z,Meyer Levin (I.S. 285): Zoned Program,Zoned,,
MS,18K366,The Science And Medicine Middle School,K366L,The Science and Medicine Middle School 366,Limited Unscreened,,
HS,18K563,It Takes a Village Academy,L36A,It Takes A Village Academy,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies, Technology, Art, or Music; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,18K563,It Takes a Village Academy,L36B,Engineering Academy,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies, Technology; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,18K563,It Takes a Village Academy,L36C,Medical Professions & Science Academy,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies, Technology; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,18K566,Brooklyn Community High School for Excellence and Equity,L32A,"Science, Technology, Engineering, Arts and Math (STEAM) Program",Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Punctuality; Standardized Test Scores: English Language Arts, Math"
HS,18K567,Brooklyn Theatre Arts High School,L33A,Theater Arts,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science, Social Studies; Initial Filter: Attendance; Standardized Test Scores: English Language Arts, Math"
HS,18K569,Kurt Hahn Expeditionary Learning School,L37A,Kurt Hahn Expeditionary Learning School,Ed. Opt.,,
HS,18K576,Victory Collegiate High School,L41A,Victory Collegiate High School,Open,,
MS,18K581,"The Middle School of Media, Law and Fine Arts",K581L,The East Flatbush Community Research School,Limited Unscreened,,
MS,18K588,Middle School for Art and Philosophy,K588L,Middle School for Art and Philosophy,Limited Unscreened,,
HS,18K617,High School for Innovation in Advertising and Media,L48A,High School for Innovation in Advertising and Media,Ed. Opt.,,
HS,18K629,Cultural Academy for the Arts and Sciences,L45A,Culinary Arts,Open,,
HS,18K629,Cultural Academy for the Arts and Sciences,L45B,Cultural Academy College Prep,Open,,
HS,18K633,High School for Medical Professions,L49A,High School for Medical Professions,Ed. Opt.,,"Attendance; Course Grades: English, Math, Science"
HS,18K637,Academy for Conservation and the Environment,L44A,Technology and Visual Arts Institute,Ed. Opt.,,Attendance; Course Grades: Average
HS,18K637,Academy for Conservation and the Environment,L44B,Science and Health Institute,Ed. Opt.,,"Attendance; Course Grades: Math, Science"
HS,18K642,Urban Action Academy,L50A,Urban Action Academy,Ed. Opt.,,Attendance; Course Grades: Average
MS,18K763,Brooklyn Science and Engineering Academy,K763L,Brooklyn Science and Engineering Academy,Limited Unscreened,,
ES,19K007,P.S. 007 Abraham Lincoln,19K007KG,Kindergarten,Zoned,,
ES,19K007,P.S. 007 Abraham Lincoln,19K007SP,Spanish Dual Language,Zoned,,
ES,19K013,P.S. 013 Roberto Clemente,19K013KG,Kindergarten,Zoned,,
ES,19K065,P.S. 065,19K065KG,Kindergarten,Zoned,,
ES,19K089,P.S. 089 Cypress Hills,19K089SP,Spanish Dual Language,Non-Zoned,,
MS,19K089,P.S. 089 Cypress Hills,K089M,Spanish Newcomers Program,Screened: Language,,ELL Status; Home Language; On-Site Assessment
ES,19K108,P.S. 108 Sal Abbracciamento,19K108KG,Kindergarten,Zoned,,
ES,19K108,P.S. 108 Sal Abbracciamento,19K108SP,Spanish Dual Language,Zoned,,
ES,19K149,P.S. 149 Danny Kaye,19K149GTD,District Gifted & Talented,District G&T,,
ES,19K149,P.S. 149 Danny Kaye,19K149KG,Kindergarten,Zoned,,
ES,19K158,P.S. 158 Warwick,19K158KG,Kindergarten,Zoned,,
ES,19K159,P.S. 159 Isaac Pitkin,19K159KG,Kindergarten,Zoned,,
MS,19K171,I.S. 171 Abraham Lincoln,K171U,Abraham Lincoln Intermediate School (I.S. 171),Open,,
ES,19K190,P.S. 190 Sheffield,19K190KG,Kindergarten,Zoned,,
ES,19K202,P.S. 202 Ernest S. Jenkyns,19K202KG,Kindergarten,Zoned,,
ES,19K213,P.S. 213 New Lots,19K213KG,Kindergarten,Zoned,,
ES,19K214,P.S. 214 Michael Friedsam,19K214KG,Kindergarten,Zoned,,
ES,19K214,P.S. 214 Michael Friedsam,19K214SP,Spanish Dual Language,Zoned,,
MS,19K218,J.H.S. 218 James P. Sinnott,K218M,J.H.S. 218: Application Program,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
MS,19K218,J.H.S. 218 James P. Sinnott,K218N,J.H.S. 218: Spanish Dual Language Program,Screened: Language,,On-Site Assessment
MS,19K218,J.H.S. 218 James P. Sinnott,K218Z,J.H.S. 218: Zoned Program,Zoned,,
ES,19K224,P.S. 224 Hale A. Woodruff,19K224KG,Kindergarten,Zoned,,
ES,19K273,P.S. 273 Wortman,19K273KG,Kindergarten,Zoned,,
ES,19K290,P.S. 290 Juan Morel Campos,19K290KG,Kindergarten,Zoned,,
MS,19K292,J.H.S. 292 Margaret S. Douglas,K292M,Margaret Douglas (J.H.S. 292): Honors Program,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness
MS,19K292,J.H.S. 292 Margaret S. Douglas,K292U,Margaret Douglas (J.H.S. 292),Open,,
ES,19K306,P.S. 306 Ethan Allen,19K306KG,Kindergarten,Zoned,,
ES,19K325,The Fresh Creek School,19K325KG,Kindergarten,Zoned,,
ES,19K328,P.S. 328 Phyllis Wheatley,19K328KG,Kindergarten,Zoned,,
ES,19K345,P.S. 345 Patrolman Robert Bolden,19K345KG,Kindergarten,Zoned,,
ES,19K345,P.S. 345 Patrolman Robert Bolden,19K345SP,Spanish Dual Language,Zoned,,
ES,19K346,P.S. 346 Abe Stark,19K346KG,Kindergarten,Zoned,,
MS,19K364,I.S. 364 Gateway,K364S,Gateway Intermediate School 364 Screened,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
MS,19K364,I.S. 364 Gateway,K364Z,Gateway Intermediate School 364 Zoned,Zoned,,
MS,19K404,Academy for Young Writers,K404L,Academy for Young Writers,Limited Unscreened,,
HS,19K404,Academy for Young Writers,L22A,Academy for Young Writers,Ed. Opt.,,Attendance; Punctuality
MS,19K409,East New York Family Academy,K409S,East New York Family Academy,Screened,,4th Grade New York State ELA and Math Exams; Attendance; Final 4th Grade Report Card; Lateness
HS,19K409,East New York Family Academy,K45A,East New York Family Academy,Screened,,Attendance; Course Grades: English; Punctuality; Standardized Test Scores: English Language Arts
HS,19K422,Spring Creek Community School,K31A,Spring Creek Community School,Ed. Opt.,,
MS,19K422,Spring Creek Community School,K422L,Spring Creek Community School,Limited Unscreened,,
MS,19K452,Frederick Douglass Academy VIII Middle School,K452S,Frederick Douglas Academy VIII,Screened,,4th Grade New York State ELA and Math Exams; Academic and Personal Behavior Scores; Attendance; Final 4th Grade Report Card; Lateness; On-Site Assessment
HS,19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,K62X,FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,Ed. Opt.,,
